velocity,altitude,best_m,best_p,best_t,finesse_max,naca_complet
186.01264663163016,10774.974121444986,7,7,10,279.34333685389805,7710
93.30647775935267,3432.250636415621,8,7,8,293.0849168764752,8708
165.0557211057305,11451.529167264378,7,5,6,238.8504537081918,7506
69.53333144929667,4311.399842883298,8,6,10,243.42635419802656,8610
100.95210264148444,2537.289010795451,9,7,5,289.22614784738295,9705
213.89632278797194,9515.391458433758,5,6,7,207.6261091049092,5607
184.1200166759718,11272.239571188233,8,6,13,228.26684120448633,8613
78.13324601545968,2696.4831990213524,7,7,10,255.9988793829755,7710
157.72469023428621,8720.89458943049,7,6,4,322.5874409189535,7604
156.82220704966306,2847.1290784639195,8,6,7,349.6460461708871,8607
54.74877958505759,7833.906297435828,5,6,6,169.9457841007461,5606
117.38522066415737,10369.753446237153,7,6,9,241.61590942771082,7609
158.35462274133687,10843.193724368666,5,6,9,213.21863188393306,5609
107.62272313132561,8187.276922061559,7,7,7,307.38321220104626,7707
92.1584146093989,127.13102573218337,9,6,2,288.9578754226385,9602
85.48568353265142,4301.677899530341,7,6,12,232.96234565121313,7612
125.15229729331875,5835.074527477037,9,6,2,311.5317854502099,9602
119.12916585296031,4504.278061530324,9,5,16,198.3619928016473,9516
77.6455594324257,7700.3947078679375,9,6,6,262.0387568985071,9606
82.18688133417862,2375.1524839103768,8,4,18,134.91025099164904,8418
181.2174415575331,3520.0185431145037,9,4,8,220.11429070778345,9408
55.58190334755375,8890.807473485476,9,6,2,258.5179708967766,9602
71.63548310139676,6232.449994780153,6,7,10,241.70820835307384,6710
114.8688146842038,1044.13427987797,9,6,11,313.9977379747318,9611
169.1111164678377,8855.091826803076,6,7,8,276.59102688211465,6708
131.42058995016544,11294.837220906296,6,7,7,290.7843783111624,6707
80.94211767929467,8390.41645197826,7,4,15,121.51333290849179,7415
138.63386907703565,2491.4831210627462,7,5,5,241.92031586703334,7505
150.6538890359256,3740.6394860641194,8,6,3,354.480387511941,8603
146.65232963857602,11225.518949841644,9,6,2,328.0886635406389,9602
176.33386881134197,5829.667461944989,7,7,9,252.87491563848704,7709
222.78077265826278,1586.5555533185031,5,8,9,160.64830724436126,5809
94.86553476564276,3196.516165772004,8,6,5,307.559916761502,8605
93.52060140081406,10921.356951190019,9,7,10,238.08008167744464,9710
91.7214229777075,2542.9680120517573,9,7,9,271.167893386183,9709
68.86212163477062,1529.3864855197367,6,6,4,245.27874655697892,6604
233.67175095797813,8379.684492781116,5,6,1,90.05913986521504,5601
124.44557854349607,2610.9271688234694,8,7,7,276.19789225319755,8707
238.03513676296845,4598.853130444722,6,5,2,149.7076469348059,6502
76.77346832880359,279.85103523474606,9,6,4,329.999258559293,9604
153.88172476680825,1318.24006851331,8,6,9,328.0792384844389,8609
210.4863927091102,2550.7240754657873,5,7,14,161.50118586346576,5714
51.315478557368266,5169.927339204911,7,6,20,137.53549441675335,7620
100.31488241902909,6757.0216945765505,9,6,3,326.4929590052795,9603
120.11649471111869,4053.059469775203,7,6,7,287.781988092874,7607
108.7124148727352,3819.1016692741428,8,6,6,310.1458335326424,8606
143.25725668706383,9445.824512872143,9,7,8,317.44714985367744,9708
168.14377003080654,6318.770246549378,8,5,4,291.99377058336904,8504
64.51344493493477,1368.4357844181059,8,7,9,277.68021778328034,8709
133.2623605504248,11303.411915305054,7,7,6,325.58975485613735,7706
201.4215440685882,1216.7837139405874,7,6,6,304.01666042039403,7606
172.24739803997235,11197.0213127652,8,7,7,356.7496315136923,8707
177.56624965055585,6994.060777890714,9,4,7,218.2765298409867,9407
152.88446503782333,1584.951563630173,9,7,11,193.7123776625128,9711
50.55553459597233,10221.526723922072,8,6,4,213.30959059941648,8604
211.0117291426903,8495.212471140425,5,3,4,124.25215157976679,5304
136.07532014764914,2374.7561583462243,6,7,12,176.6656841122426,6712
201.95757962977027,6865.134103621347,7,6,10,259.26203039990827,7610
208.86687651467514,11493.13821943805,4,4,5,132.1826410372519,4405
154.7821060249608,100.90483829400299,7,7,6,210.51085570377035,7706
242.0463893543154,11746.754890102895,2,7,2,86.3853593119114,2702
65.94716462306822,4066.7222346492636,5,7,9,218.25499674670374,5709
194.29845337440605,9047.590619636234,7,6,7,323.0538137211549,7607
139.58036205407905,1023.7499661275286,9,6,6,376.695818919691,9606
213.15797385273157,2036.5232161602744,7,4,2,201.83031526041947,7402
218.74076274265852,9153.49589073424,3,5,5,129.03376474976255,3505
118.59311768514593,8930.181939761951,8,7,4,310.34704350134916,8704
67.24235454982399,7162.190453767019,9,6,7,247.0276908559182,9607
229.26083496623218,2682.3269031568475,4,6,8,157.71684481986077,4608
159.11515400718986,5814.463524147436,7,6,13,257.80911281965996,7613
155.91910880997239,7331.304233340093,6,5,3,227.5369205251105,6503
156.35485333816004,2065.3484141177837,7,5,8,229.38709420980894,7508
177.5416252768745,2317.7106873905323,5,6,10,177.41086352986636,5610
187.23227878292835,8482.425319331998,7,5,8,248.87366279014947,7508
216.37137305228163,6389.392920713398,6,5,1,184.94816072122674,6501
154.16350202804966,8433.94646924615,6,7,5,280.0097940535281,6705
92.42872106689089,3059.424541652951,7,7,7,290.94497984081266,7707
240.89954598719498,325.94484927967613,6,5,1,171.6276283105649,6501
193.20886439338366,10573.203175882116,7,5,5,269.76621922946697,7505
113.6089282051912,811.3496606785206,8,6,15,235.80125615931905,8615
232.05501343490096,7417.992069541498,2,7,6,98.6596092613766,2706
174.08949377911495,10377.691829767786,8,5,7,268.9964875795755,8507
65.14257100739687,1433.6970930963075,7,7,7,294.0863568207897,7707
162.0130152539078,9547.387492425776,9,5,19,181.67436309286194,9519
209.90074636914068,9339.49916046436,5,6,6,251.13973692564912,5606
192.1813767439723,8980.382017429321,4,6,8,180.56710749642744,4608
127.28671683253452,1958.7400100110917,9,5,6,280.88788610870296,9506
170.01184294672896,8116.030995692459,9,7,5,317.7069946327259,9705
188.68566439150942,9910.251196204392,7,7,7,298.4735480864787,7707
62.30489029061954,5168.190724143097,9,6,14,210.1352942108455,9614
210.5245759193465,5620.78503003266,6,7,6,215.55733914472452,6706
185.31514938900912,6982.601997998429,7,6,10,308.6725122142784,7610
94.14332182818848,1471.5329373799473,9,6,5,335.54343611724704,9605
117.84624938596806,208.45638547070556,8,5,12,218.4081607611614,8512
208.07438069169697,6938.690775913874,6,5,7,222.0223967667528,6507
194.60363766853396,1617.3708077093636,6,4,14,160.08289958695488,6414
92.27157835101036,3579.773748531568,9,6,11,278.0573657370453,9611
197.08732696312293,7226.785499259319,8,3,3,158.19301877844202,8303
107.61630699879446,1976.2685176773155,9,7,7,285.39118121731025,9707
226.58241594556955,1132.2383076598487,8,5,1,214.769181885757,8501
244.87379386841778,5746.233343511332,9,6,1,32.808815399080984,9601
116.50958506909845,1577.1085352906998,9,6,11,313.2064928856569,9611
140.19896339506954,3887.428699099767,8,7,8,270.51300971862514,8708
162.81613316991238,4223.466154306602,9,6,3,395.32506550890474,9603
107.13315728652337,2982.8421430558524,8,5,12,209.26216136356373,8512
199.12423982474635,1448.8731727581117,9,5,14,217.30953042657833,9514
177.60718207673827,8051.319729972663,5,6,9,217.438770097504,5609
88.29513503730286,5433.649003984334,8,6,6,277.2462247873796,8606
71.7802668637689,4531.407310702359,7,6,13,214.74217969364344,7613
219.47415631766552,8500.814374092111,4,6,6,194.6319699731571,4606
145.01102725895944,7059.051059736489,9,6,3,374.1837983353093,9603
192.69420778807438,3641.6693862006437,8,7,9,234.28572013396538,8709
186.7447209217115,10488.291326865112,8,6,7,318.8069524693852,8607
236.08430336046226,5404.009592377805,7,4,1,77.59725971705377,7401
58.560987137186316,3145.8477990866954,9,6,2,288.49814893830336,9602
90.28770453779998,1720.2106003002266,5,7,5,214.19187804902512,5705
81.44216174201125,7345.571347721394,7,7,10,260.89082696449117,7710
141.32091757078285,5113.41499363269,9,6,10,327.9943612925553,9610
118.06464117819868,10123.512347641368,4,7,5,208.20736954974475,4705
127.75359871754273,7756.913484390067,8,6,10,284.1850661747285,8610
168.96144325315737,10241.783925721513,9,5,2,294.07092834205565,9502
236.72482527574758,6444.710464990382,5,4,2,123.57721547328556,5402
79.98773663498058,3689.0875045693424,7,6,8,249.26646195646532,7608
226.22806270403268,7127.462404635499,5,5,5,170.02093950153022,5505
169.64756948160903,6042.280639727379,8,6,5,370.7365960986426,8605
135.4337013183268,3143.4302790026186,9,6,6,362.2319156813115,9606
120.85392828818881,3323.4462725200865,9,5,11,239.71873162228292,9511
206.36733208919065,6764.706996065684,5,6,13,169.13775050034454,5613
190.40594064257513,9788.366837010739,6,6,3,313.52048572072425,6603
152.60695892593537,4656.372143432236,6,5,5,216.78075403069715,6505
84.32085280473359,5770.281714806034,7,7,6,306.909577678494,7706
135.49015794531715,8977.781870637427,9,6,3,351.9226274093055,9603
178.88241932735136,1429.949306439433,9,6,17,227.53408760258674,9617
228.0403569602651,6562.362129361414,3,7,12,93.9003136179399,3712
102.772647217527,8525.95848005909,8,7,5,328.040841607311,8705
