velocity,altitude,best_m,best_p,best_t,finesse_max,naca_complet
109.29066124429019,3252.7699777462703,9,6,3,355.2865876148131,9603
118.58969632531927,10013.756487034898,8,7,6,331.2091915166837,8706
205.10835836768837,4859.946253469437,7,6,4,346.4314951279433,7604
92.19763900978697,11255.608355727254,8,7,4,297.4290983283628,8704
80.66105682644937,685.1900474731632,9,6,3,340.0883853364881,9603
79.03326426605318,5859.446912082604,9,6,3,306.6350268900262,9603
186.6955191157016,5577.651046995888,9,6,4,418.26564777996913,9604
50.048487557662625,925.1076839961021,8,7,5,311.4064899243575,8705
208.94575049492735,7496.418730873977,6,6,4,302.2073626675066,6604
243.84212690422865,11664.56338702159,2,6,3,108.64688839015882,2603
54.78098186642906,5144.103135789636,8,7,4,296.70200338204535,8704
211.83224258103454,8548.846919383666,5,6,4,264.5103100547454,5604
210.651221313305,2910.102349997784,8,6,4,327.6591202241502,8604
100.28175746150849,3276.7443549891905,9,6,3,346.62428058653484,9603
107.16798198703785,312.93130057565224,9,6,3,362.4575908381437,9603
154.67513080932184,8882.482208973963,9,6,3,375.8787779203145,9603
63.10139127943919,3653.3067854044375,8,7,5,313.9039423662887,8705
162.93514605792018,1261.8446966344652,9,6,5,400.8162835672386,9605
247.71804380555415,11964.426157300304,2,6,3,98.23982683581018,2603
242.3571743050674,8778.782608025285,3,6,3,128.851165361891,3603
70.39740962002898,839.345746726174,9,6,3,327.48941448102875,9603
90.11437352489423,8416.475552486163,8,7,5,319.47590873654065,8705
196.2580935670669,8402.861067027456,7,6,4,353.6649461254158,7604
145.62914673509715,10904.69003808822,9,7,5,352.2472167827161,9705
195.77051437436214,3410.712815579734,9,6,5,416.27837691641554,9605
95.17597163505252,2114.2050115815873,9,6,3,347.45014759895275,9603
230.6945679446974,11449.605771952536,3,7,4,148.52977050343023,3704
246.0806694458331,8378.331965569829,3,6,3,115.27384955660875,3603
240.1601375579778,11032.280397344697,3,6,3,119.90056346680718,3603
119.62049424068164,8153.531009304645,9,6,3,339.37190218955885,9603
210.3187477346592,8991.022458748772,5,6,4,267.82623763601003,5604
89.40057229638016,9947.375010823918,8,7,4,308.5301088628135,8704
74.38036421678376,5376.849221964774,8,7,5,317.2101000035483,8705
88.32663176938993,1277.2589205696997,9,6,3,344.8866775066351,9603
162.67367771395405,4498.934791943827,9,6,4,396.24885059097295,9604
152.81458115751383,7972.088393314501,9,6,3,378.8056048528755,9603
58.802672630997876,8868.52605554392,8,7,4,265.8305889020737,8704
100.45138204463407,3789.975445296805,9,6,3,344.08634816932954,9603
50.064538158599056,4439.790296835497,8,7,4,293.40285845334233,8704
242.4649376422759,11848.703763895417,3,5,2,107.90122485494096,3502
108.73325998058533,10527.81326793118,8,7,5,324.27410151156244,8705
162.83416337345128,11670.92036786387,9,7,5,365.41646392794695,9705
80.87758295122254,732.6210609668111,9,6,3,340.07485898793414,9603
157.9501109424632,4192.367773964501,9,6,4,392.31920458497524,9604
163.57600560603245,4598.32386339878,9,6,4,396.9548917474634,9604
234.27762316838897,8552.584074599197,4,5,2,154.81535626551334,4502
121.985710685206,5726.939875691991,9,6,3,356.0575686580201,9603
214.23384686607508,11063.724495654425,5,6,3,244.24079836349603,5603
213.74255022848837,4414.94359014522,7,6,4,302.73879045655974,7604
85.61264643729069,3336.5406637713445,9,6,3,330.65716424404906,9603
175.09716316405522,5341.3088506274225,9,6,4,407.7048598385034,9604
93.98365973236855,7441.498929392888,8,7,5,324.5451280937938,8705
81.05104393647309,5032.455275634268,9,7,5,320.3089114612964,9705
56.624352618540975,3495.991311889352,8,7,5,308.11589168064233,8705
125.39070964278739,6887.413865976272,9,6,3,353.69432056746126,9603
227.1442865790094,440.09308596274013,7,5,3,265.38976912005296,7503
87.96828875869392,6115.589684458316,8,7,5,322.2204521918779,8705
139.64263843255912,8374.41547115911,9,6,3,361.0516072717327,9603
210.4537218797931,1519.4088073791838,8,6,5,341.91288833120933,8605
143.62408919712357,8806.042789947827,9,6,3,362.8986977038941,9603
176.76026908060396,10304.588400661465,9,6,3,391.27263047734823,9603
82.14633281461477,9998.490652429804,8,7,4,299.1663404233013,8704
249.54050142941196,3084.107332769624,4,5,3,150.56594412527224,4503
55.22215162102248,1030.8652401701713,8,7,5,314.12590753989997,8705
158.891762010776,3850.014425989877,9,6,4,393.73223345486366,9604
129.36888106382855,8168.819565048673,9,6,3,350.47454653093337,9603
194.8863181029175,6729.657317787895,8,6,4,383.80757811606264,8604
108.10396167009276,236.53620341891335,9,6,3,363.0424177214692,9603
132.54050078015527,1538.4717380109807,9,6,4,376.5239712954949,9604
78.20861813103602,8252.792992737453,8,7,4,307.27293028959525,8704
187.71089917723563,2028.568720088418,9,6,5,419.3689477802,9605
58.20599424483703,5207.6259838854985,8,7,4,300.87402216227457,8704
